"字詞名","輕鬆輸入法編碼","分析可能的輕鬆輸入法編碼","查無對映的輕鬆輸入法編碼"
"佳人","ogo","",""
"佳作","ogom","",""
"佳偶","ogob","",""
"佳偶天成","oom`","",""
"佳餚","ogob","",""
"佳音","ogya","",""
"家","7.","",""
"家破人亡","7moy","",""
"家貧","7.85","",""
"家譜","7.4a","",""
"家門","7.a","",""
"家母","7.=y","",""
"家法","7.e/","",""
"家風","7.,'","",""
"家風","7.-'","",""
"家風","7.-l","",""
"家父","7.8x","",""
"家道","7.zw","",""
"家道中落","7zlt","",""
"家當","7.tw","",""
"家電","7.6'","",""
"家丁","7.mb","",""
"家天下","7mm","",""
"家庭","7.`g","",""
"家庭","7.`z","",""
"家庭計畫","7`41","",""
"家庭計畫","7`4]","",""
"家庭教育","7`gj","",""
"家庭教育","7`gy","",""
"家庭教育","7`xj","",""
"家庭教育","7`xy","",""
"家庭醫師","7`[,","",""
"家庭醫師","7`[s","",""
"家徒四壁","7,ws","",""
"家奴","7.vx","",""
"家規","7.g-","",""
"家規","7.m-","",""
"家計","7.4j","",""
"家祭","7.,y","",""
"家家戶戶","77ss","",""
"家家酒","77e","",""
"家教","7.gx","",""
"家教","7.xx","",""
"家境","7.g-","",""
"家具","7.78","",""
"家具","7.b8","",""
"家眷","7.8w","",""
"家眷","7.tw","",""
"家禽","7.ob","",""
"家小","7.,y","",""
"家信","7.o4","",""
"家鄉","7.39","",""
"家學淵源","7,ee","",""
"家長","7.m[","",""
"家政","7.mx","",""
"家醜","7.m'","",""
"家醜","7.m/","",""
"家產","7.yg","",""
"家常","7.t1","",""
"家常便飯","7too","",""
"家畜","7.yw","",""
"家傳","7.o;","",""
"家世","7.'t","",""
"家世","7.m'","",""
"家世","7.t'","",""
"家事","7.jb","",""
"家事","7.mb","",""
"家室","7.7g","",""
"家商","7.yb","",""
"家書","7.1a","",""
"家書","7.]a","",""
"家屬","7.sn","",""
"家人","7.o","",""
"家賊","7.5i","",""
"家族","7.yk","",""
"家祠","7.yn","",""
"家慈","7.tp","",""
"家財","7.5b","",""
"家業","7.td","",""
"家嚴","7.rx","",""
"家務","7..n","",""
"家喻戶曉","7rsa","",""
"家園","7.w[","",""
"家用","7.b1","",""
"家用","7.bj","",""
"傢","o.","",""
"傢伙","o.of","",""
"葭","tx","",""
"夾","j.","",""
"夾","ko","",""
"夾板","j.dx","",""
"夾板","kodx","",""
"夾縫","ko3j","",""
"夾帶","j.j1","",""
"夾帶","j.m1","",""
"夾帶","koj1","",""
"夾帶","kom1","",""
"夾道","j.zw","",""
"夾道","kozw","",""
"夾攻","j.mx","",""
"夾攻","komx","",""
"夾克","j.j-","",""
"夾克","koj-","",""
"夾擊","j.2q","",""
"夾擊","ko2q","",""
"夾竹桃","jhd","",""
"夾竹桃","khd","",""
"夾注號","jer","",""
"夾注號","ker","",""
"夾子","j..b","",""
"夾子","ko.b","",""
"夾雜","j.y0","",""
"夾雜","koy0","",""
"夾層","kosa","",""
"夾層屋","jss","",""
"夾層屋","kss","",""
"浹","ek","",""
"浹","eo","",""
"莢","tk","",""
"蛺","lkx","",""
"蛺蝶","lxld","",""
"鋏","ckx","",""
"頰","j5","",""
"頰","k5","",""
"戛","mi","",""
"戛然而止","m,m1","",""
"甲","a1","",""
"甲","w1","",""
"甲板","a1dx","",""
"甲板","w1dx","",""
"甲等","a1h;","",""
"甲等","w1h;","",""
"甲骨文","a7y","",""
"甲骨文","w7y","",""
"甲殼","a1gx","",""
"甲殼","w1gx","",""
"甲冑","a11b","",""
"甲冑","w11b","",""
"甲狀腺","a'b","",""
"甲狀腺","w'b","",""
"甲蟲","a1ll","",""
"甲蟲","w1ll","",""
"甲子","a1.b","",""
"甲子","w1.b","",""
"甲魚","a1,f","",""
"甲魚","w1,f","",""
"岬","u1","",""
"岬","u1x","",""
"胛","b1","",""
"舺",",1","",""
"舺",",1x","",""
"鉀","c1","",""
"夏","mx","",""
"假","ox","",""
"假扮","oxqn","",""
"假寐","ox7d","",""
"假冒","ox7w","",""
"假冒","oxaw","",""
"假冒","oxbw","",""
"假面具","omb","",""
"假髮","oxmx","",""
"假道學","oz,","",""
"假定","ox7o","",""
"假公濟私","o8e,","",""
"假扣押","oqq","",""
"假借","oxoa","",""
"假戲真做","oyjo","",""
"假戲真做","o`jo","",""
"假仙","oxou","",""
"假想","oxdp","",""
"假象","ox,.","",""
"假惺惺","opp","",""
"假性近視","opzy","",""
"假裝","ox'[","",""
"假使","oxox","",""
"假釋","ox,j","",""
"假設","ox4x","",""
"假手他人","oqoo","",""
"假山","oxu","",""
"假如","oxvr","",""
"假若","oxtr","",""
"假造","oxzr","",""
"假以顏色","o1y,","",""
"假意","oxyp","",""
"假牙","oxmb","",""
"賈","m5","",""
"架","jd","",""
"架","nd","",""
"架構","jddb","",""
"架構","nddb","",""
"架空","jd7m","",""
"架空","nd7m","",""
"架勢","jdgn","",""
"架勢","ndgn","",""
"架式","jdim","",""
"架式","jdmi","",""
"架式","ndim","",""
"架式","ndmi","",""
"架設","jd4x","",""
"架設","nd4x","",""
"架子","jd.b","",""
"架子","nd.b","",""
"架走","jdgo","",""
"架走","ndgo","",""
"駕","jn","",""
"駕","nn","",""
"駕崩","jnub","",""
"駕崩","nnub","",""
"駕臨","jn[r","",""
"駕臨","nn[r","",""
"駕鶴西歸","j7m,","",""
"駕鶴西歸","j7ms","",""
"駕鶴西歸","n7m,","",""
"駕鶴西歸","n7ms","",""
"駕輕就熟","j2yy","",""
"駕輕就熟","n2yy","",""
"駕照","jnaf","",""
"駕照","nnaf","",""
"駕車","jn2","",""
"駕車","nn2","",""
"駕駛","jnmx","",""
"駕駛","nnmx","",""
"駕馭","jnmx","",""
"駕馭","nnmx","",""
"假","ox","",""
"假期","oxtb","",""
"假日","oxa","",""
"假日花市","oaty","",""
"嫁","v.","",""
"嫁奩","v.k[","",""
"嫁禍","v.yb","",""
"嫁雞隨雞，嫁狗隨狗","v,9,","",""
"嫁接","v.qv","",""
"嫁娶","v.9v","",""
"嫁妝","v.'v","",""
"稼",",.","",""
"價","o5","",""
"價碼","o5mn","",""
"價目","o5am","",""
"價目","o5w","",""
"價目","o5wm","",""
"價廉物美","o`,t","",""
"價格","o5dr","",""
"價款","o5go","",""
"價錢","o5ci","",""
"價值","o5om","",""
"價值連城","oozg","",""
"價值觀","oot","",""
"價位","o5ot","",""
"皆","'a","",""
"皆","1a","",""
"皆大歡喜","'ktg","",""
"皆大歡喜","1ktg","",""
"階","9a","",""
"階段","9a,x","",""
"階梯","9ad1","",""
"階梯","9adn","",""
"階級","9a3x","",""
"階下囚","9mw","",""
"階層","9asa","",""
"接","qv","",""
"接駁","qvmx","",""
"接班","qvmg","",""
"接辦","qvyj","",""
"接棒","qvdj","",""
"接風","qv,'","",""
"接風","qv-'","",""
"接風","qv-l","",""
"接縫","qv3j","",""
"接縫","qv3z","",""
"接待","qv,;","",""
"接頭","qvm5","",""
"接替","qvga","",""
"接替","qvja","",""
"接納","qv3b","",""
"接力賽","qj7","",""
"接力賽","qn7","",""
"接連","qvz2","",""
"接骨","qv7b","",""
"接管","qvhr","",""
"接客","qv7r","",""
"接合","qvor","",""
"接獲","qd,x","",""
"接獲","qdtx","",""
"接濟","qve1","",""
"接見","qvw-","",""
"接近","qvz1","",""
"接洽","qver","",""
"接線生","q3,","",""
"接續","qv35","",""
"接枝","qvdx","",""
"接招","qvqr","",""
"接掌","qvtq","",""
"接踵","qvrg","",""
"接踵而來","qrmd","",""
"接踵而來","qrmj","",""
"接踵而來","qrmm","",""
"接種","qv,g","",""
"接觸","qv,n","",""
"接殺","qvxx","",""
"接收","qv'x","",""
"接收","qv1x","",""
"接手","qvq","",""
"接受","qv,x","",""
"接生","qv,g","",""
"接任","qvog","",""
"接壤","qvg[","",""
"接二連三","qmzm","",""
"接引","qvn1","",""
"接應","qv`p","",""
"接吻","qvrn","",""
"揭","q=","",""
"揭","qw","",""
"揭幕","q=t1","",""
"揭幕","qwt1","",""
"揭發","q=.x","",""
"揭發","qw.x","",""
"揭露","q=6r","",""
"揭露","qw6r","",""
"揭竿","q=hj","",""
"揭開","q=at","",""
"揭開","qwat","",""
"揭曉","q=a-","",""
"揭曉","qwa-","",""
"揭櫫","q=md","",""
"揭穿","q=7b","",""
"揭穿","qw7b","",""
"揭示","q=my","",""
"揭示","qwmy","",""
"街",",h","",""
"街",",b","",""
"街坊",",bgn","",""
"街道",",bzw","",""
"街頭巷尾",",mts","",""
"街談巷議",",4t4","",""
"街角",",b,b","",""
"街市",",by1","",""
"街舞",",h,j","",""
"街舞",",b,j","",""
"結","3r","",""
"結巴","3rw'","",""
"結巴","3r]'","",""
"結實","3r75","",""
"嗟","rm","",""
"嗟嘆","rmrk","",""
"嗟來食","rdo","",""
"嗟來食","rjo","",""
"嗟來食","rmo","",""
"孑",".b","",""
"孑孓",".b.b","",""
"孑然一身",".,m,","",""
"劫","gn","",""
"劫匪","gn[m","",""
"劫難","tnt0","",""
"劫掠","gnqy","",""
"劫後餘生","g,o,","",""
"劫機","gndi","",""
"劫機","tndi","",""
"劫持","gnq;","",""
"劫殺","gnxx","",""
"劫數","gn1x","",""
"劫數","gnwx","",""
"杰","df","",""
"拮","qr","",""
"拮据","qrqr","",""
"桔","dr","",""
"桔梗","drdx","",""
"結","3r","",""
"結拜","3r,j","",""
"結伴","3roj","",""
"結冰","3rye","",""
"結膜","3rbk","",""
"結盟","3ram","",""
"結髮","3rmx","",""
"結黨","3rtf","",""
"結黨營私","3tf,","",""
"結連理","3zm","",""
"結論","3r4b","",""
"結構","3rdb","",""
"結果","3rwd","",""
"結合","3ror","",""
"結核病","3dy","",""
"結核病","3d`","",""
"結夥","3rw,","",""
"結匯","3re[","",""
"結匯","3r[0","",""
"結婚","3rva","",""
"結交","3ryx","",""
"結晶","3raa","",""
"結局","3rsn","",""
"結訓","3r41","",""
"結帳","3r1[","",""
"結帳","3rb[","",""
"結腸","3rbn","",""
"結石","3rmr","",""
"結實","3r75","",""
"結識","3r4i","",""
"結社","3ryg","",""
"結束","3rdr","",""
"結束","3rjd","",""
"結紮","3rd3","",""
"結存","3rjb","",""
"結算","3rht","",""
"結案","3r7d","",""
"結義","3rti","",""
"結業","3rtd","",""
"結尾","3rs'","",""
"結餘","3rod","",""
"結語","3r4r","",""
"結緣","3r3.","",""
"結怨","3r,p","",""
"詰","4r","",""
"詰屈聱牙","4sjm","",""
"詰問","4rar","",""
"頡","g5","",""
"擷","q5","",""
"擷取","q59x","",""
"訐","4j","",""
"桀",",d","",""
"桀驁不馴",",jmm","",""
"傑","od","",""
"傑出","oduu","",""
"傑作","odom","",""
"捷","qo","",""
"捷報","qogx","",""
"捷徑","qo,m","",""
"捷足先登","qr,.","",""
"捷運系統","qz,3","",""
"婕","vo","",""
"婕","vox","",""
"婕妤","vovb","",""
"婕妤","vxvb","",""
"睫","wo","",""
"睫毛","wo,'","",""
"偈","o=x","",""
"竭","y=","",""
"竭力","y=jn","",""
"竭力","y=mn","",""
"竭力","y=n,","",""
"竭力","ynn,","",""
"竭盡","y=1m","",""
"竭盡","y=]m","",""
"竭誠歡迎","y4tz","",""
"碣","m=","",""
"羯","t=","",""
"節","h1","",""
"節","h9","",""
"節拍","h9qa","",""
"節目","h9am","",""
"節目","h9w","",""
"節目","h9wm","",""
"節流","h9e'","",""
"節流","h9e-","",""
"節令","h9o1","",""
"節令","h9o9","",""
"節令","h9oy","",""
"節錄","h9ce","",""
"節略","h9wr","",""
"節骨眼","h7w","",""
"節節敗退","hh5z","",""
"節節攀高","hhdy","",""
"節節失利","hh,,","",""
"節儉","h0oo","",""
"節儉","h9oo","",""
"節氣","h9,'","",""
"節氣","h9,d","",""
"節慶","h9`x","",""
"節制","h9,b","",""
"節食","h9o[","",""
"節省","h9,w","",""
"節省","h9bw","",""
"節稅","h9,-","",""
"節日","h9a","",""
"節奏","h9jk","",""
"節操","h9qd","",""
"節哀","h9y[","",""
"節哀順變","hy,3","",""
"節衣縮食","hy3o","",""
"節外生枝","h,,d","",""
"節餘","h9od","",""
"節育","h9jb","",""
"節育","h9yb","",""
"節約","h93n","",""
"櫛","d9","",""
"櫛比鱗次","d',m","",""
"櫛比鱗次","d',y","",""
"櫛比鱗次","d1,m","",""
"櫛比鱗次","d1,y","",""
"櫛風沐雨","d,e6","",""
"櫛風沐雨","d-e6","",""
"癤","`9x","",""
"癤","y9x","",""
"癤子","`x.b","",""
"癤子","yx.b","",""
"截","gi","",""
"截","ji","",""
"截斷","gi'1","",""
"截斷","ji'1","",""
"截稿","gi,b","",""
"截稿","ji,b","",""
"截獲","gi,x","",""
"截獲","gitx","",""
"截獲","ji,x","",""
"截獲","jitx","",""
"截擊","gi2q","",""
"截擊","ji2q","",""
"截止","gi1m","",""
"截止","ji1m","",""
"截長補短","gmy,","",""
"截長補短","jmy,","",""
"截然不同","g,mb","",""
"截然不同","j,mb","",""
"截彎取直","g39j","",""
"截彎取直","j39j","",""
"潔","e3","",""
"潔白","e3,a","",""
"潔白無瑕","e,,m","",""
"潔淨","e3eb","",""
"潔身自好","e,,v","",""
"潔身自愛","e,,,","",""
"姐","vm","",""
"姐妹","vmvd","",""
"姐妹花","vvt","",""
"姐夫","vmgo","",""
"姐夫","vmjk","",""
"姐夫","vmmk","",""
"姊","v1","",""
"姊","vn","",""
"解",",j","",""
"解剖",",jyb","",""
"解聘",",j9n","",""
"解悶",",jap","",""
"解夢",",jt,","",""
"解謎",",j4d","",""
"解謎",",j4z","",""
"解放",",jyx","",""
"解答",",jhr","",""
"解毒",",jj=","",""
"解讀",",j45","",""
"解凍",",jyd","",""
"解套",",jk/","",""
"解體",",j7t","",""
"解脫",",jb-","",""
"解囊",",jj[","",""
"解鈴還須繫鈴人",",cz,","",""
"解僱",",jo0","",""
"解渴",",je=","",""
"解開",",jat","",""
"解惑",",jip","",""
"解甲歸田",",a,w","",""
"解甲歸田",",asw","",""
"解甲歸田",",w,w","",""
"解甲歸田",",wsw","",""
"解酒",",jew","",""
"解救",",jjx","",""
"解決",",jek","",""
"解析",",jd1","",""
"解嘲",",jrb","",""
"解除",",j9d","",""
"解釋",",j,j","",""
"解說",",j4-","",""
"解散",",jtx","",""
"解衣推食",",yqo","",""
"解藥",",jtd","",""
"解嚴",",jrx","",""
"解圍",",jwj","",""
"解約",",j3n","",""
"介","o1","",""
"介面卡","omy","",""
"介殼","o1gx","",""
"介紹","o13r","",""
"介入","o1o","",""
"介詞","o14n","",""
"介意","o1yp","",""
"芥","t1","",""
"芥蒂","t1t1","",""
"芥藍菜","ttt","",""
"芥子","t1.b","",""
"疥","y1","",""
"疥","`1","",""
"疥瘡","y1","",""
"疥瘡","y1yr","",""
"疥瘡","y1`r","",""
"疥瘡","`1","",""
"疥瘡","`1yr","",""
"疥瘡","`1`r","",""
"界","w1","",""
"界標","w1dy","",""
"界定","w17o","",""
"界內球","wom","",""
"界限","w19[","",""
"界線","w13e","",""
"界址","wmgm","",""
"界說","w14-","",""
"界外球","w,m","",""
"蚧","l1x","",""
"戒","it","",""
"戒","mi","",""
"戒備","itob","",""
"戒備","miob","",""
"戒毒","itj=","",""
"戒毒","mij=","",""
"戒律","it,j","",""
"戒律","mi,j","",""
"戒護","it4x","",""
"戒護","ittx","",""
"戒懼","itp0","",""
"戒懼","mip0","",""
"戒心","itp","",""
"戒心","mip","",""
"戒指","itqa","",""
"戒指","miqa","",""
"戒尺","its.","",""
"戒尺","mis.","",""
"戒除","it9d","",""
"戒除","mi9d","",""
"戒嚴","itrx","",""
"戒嚴","mirx","",""
"誡","4i","",""
"屆","s1","",""
"屆滿","s1eb","",""
"屆臨","s1[r","",""
"屆期","s1tb","",""
"屆時","s1a;","",""
"借","oa","",""
"借貸","oao5","",""
"借刀殺人","omxo","",""
"借刀殺人","onxo","",""
"借調","oa4b","",""
"借題發揮","oa.q","",""
"借款","oago","",""
"借花獻佛","otyo","",""
"借花獻佛","ot`o","",""
"借酒澆愁","oee,","",""
"借鏡","oac-","",""
"借據","oaq.","",""
"借債","oao5","",""
"借助","oa7n","",""
"借助","oabn","",""
"借重","oa,g","",""
"借屍還魂","oszm","",""
"借宿","oa7a","",""
"借用","oab1","",""
"借用","oabj","",""
"藉","ta","",""
"藉故","tajx","",""
"藉口","tar","",""
"藉機","tadi","",""
"藉助","tabn","",""
"藉詞","ta4n","",""
"解",",j","",""
"解送",",jzk","",""
"解元",",jm-","",""
"交","yx","",""
"交白卷","y,t","",""
"交杯酒","yde","",""
"交保","yxod","",""
"交班","yxmg","",""
"交棒","yxdj","",""
"交兵","yx,8","",""
"交配","yxm'","",""
"交鋒","yxcj","",""
"交付","yxo;","",""
"交代","yxoi","",""
"交頭接耳","ymq9","",""
"交談","yx4f","",""
"交替","yxga","",""
"交替","yxja","",""
"交通","yxzb","",""
"交通工具","yzm7","",""
"交通工具","yzmb","",""
"交通安全","yz7o","",""
"交流","yxe'","",""
"交流","yxe-","",""
"交流道","yez","",""
"交割","yx7b","",""
"交感神經","y`y3","",""
"交互作用","ymob","",""
"交貨","yxo5","",""
"交回","yxwr","",""
"交會","yxoa","",""
"交還","yxz[","",""
"交換","yxqk","",""
"交際","yx9y","",""
"交際花","y9t","",""
"交加","yxjr","",""
"交加","yxnr","",""
"交接","yxqv","",""
"交界","yxw1","",""
"交卷","yxt'","",""
"交情","yxpb","",""
"交響曲","y31","",""
"交響曲","y3a","",""
"交響詩","y34","",""
"交響樂","y33","",""
"交織","yx3i","",""
"交戰","yxri","",""
"交叉","yx.x","",""
"交叉","yxxy","",""
"交叉口","y.r","",""
"交叉口","yxr","",""
"交差","yxtm","",""
"交出","yxuu","",""
"交涉","yxe,","",""
"交手","yxq","",""
"交錯","yxca","",""
"交易","yxan","",""
"交誼","yx4m","",""
"交遊","yxzb","",""
"交惡","yxmp","",""
"交往","yx,g","",""
"交運","yxz2","",""
"郊","y9","",""
"郊區","y9[r","",""
"郊野","y9wb","",""
"郊遊","y9zb","",""
"郊外","y9,y","",""
"郊外","yx,y","",""
"茭","tx","",""
"茭","txx","",""
"茭白","tx,a","",""
"蛟","lx","",""
"蛟龍","lxy'","",""
"跤","rx","",""
"鮫",",x","",""
"教","gx","",""
"教","xx","",""
"教書","gx1a","",""
"教書","gx]a","",""
"教書","xx1a","",""
"教書","xx]a","",""
"椒","dx","",""
"焦","0f","",""
"焦孟不離","0.my","",""
"焦點","0fwf","",""
"焦點","0fwr","",""
"焦頭爛額","0mf7","",""
"焦炭","0fuf","",""
"焦土","0fg","",""
"焦慮","0fyp","",""
"焦慮","0f`p","",""
"焦黑","0fwf","",""
"焦黃","0ft8","",""
"焦急","0f,p","",""
"焦距","0fr[","",""
"焦灼","0ffn","",""
"焦躁","0frd","",""
"焦耳","0f9","",""
"蕉","tf","",""
"蕉農","tf1[","",""
"蕉農","tfw[","",""
"礁","mf","",""
"礁石","mfmr","",""
"礁岩","mfur","",""
"鷦","00x","",""
"鷦鷯","0xkx","",""
"澆","e-","",""
"澆薄","e-e;","",""
"澆薄","e-t;","",""
"澆冷水","eye","",""
"澆漓","e-eb","",""
"澆灌","e-e0","",""
"澆水","e-ee","",""
"膠","b,","",""
"膠布","b,j1","",""
"膠片","b,,1","",""
"膠片","b,11","",""
"膠帶","b,j1","",""
"膠帶","b,m1","",""
"膠囊","b,j[","",""
"膠卷","b,t'","",""
"膠鞋","b,tg","",""
"膠紙","b,3i","",""
"膠柱鼓瑟","bdgm","",""
"膠著狀態","bt'/","",""
"膠水","b,e","",""
"嬌","vb","",""
"嬌美","vbtk","",""
"嬌媚","vbvw","",""
"嬌滴滴","vee","",""
"嬌嫩","vbvx","",""
"嬌貴","vbl5","",""
"嬌客","vb7r","",""
"嬌妻","vbjv","",""
"嬌氣","vb,d","",""
"嬌小","vb,y","",""
"嬌小","vbby","",""
"嬌小玲瓏","v,mm","",""
"嬌小玲瓏","vbmm","",""
"嬌羞","vbtm","",""
"嬌嗔","vbr8","",""
"嬌嗔","vbrx","",""
"嬌生慣養","v,pt","",""
"嬌嬈","vbv-","",""
"嬌柔","vb.d","",""
"嬌縱","vb3o","",""
"嬌豔","vb'm","",""
"嬌豔","vbwm","",""
"嬌娃","vbvg","",""
"驕","mb","",""
"驕橫","mbd8","",""
"驕矜","mb..","",""
"驕寵","mb7'","",""
"驕奢","mbka","",""
"驕奢淫逸","mkez","",""
"驕恣","mbmp","",""
"驕恣","mbyp","",""
"驕縱","mb3o","",""
"驕傲","mbox","",""
"驕陽","mb9n","",""
"徼",",xx","",""
"嚼","r;","",""
"嚼舌","r;,r","",""
"嚼舌","r;mr","",""
"角",",b","",""
"角膜",",bbk","",""
"角門",",baa","",""
"角度",",b`x","",""
"角力",",bjn","",""
"角力",",bmn","",""
"角力",",bn,","",""
"角落",",btr","",""
"角鋼","wbcb","",""
"角逐",",bz.","",""
"角尺",",bs.","",""
"佼","oxx","",""
"佼佼","oxox","",""
"狡",",x","",""
"狡辯",",xyj","",""
"狡兔三窟",",,m7","",""
"狡賴",",xd5","",""
"狡賴",",xj5","",""
"狡猾",",x,b","",""
"狡黠",",xwr","",""
"狡詐",",x4m","",""
"姣","vx","",""
"皎",",x","",""
"皎潔",",xe3","",""
"筊","hxx","",""
"筊杯","hxdy","",""
"絞","3x","",""
"絞痛","3xyb","",""
"絞痛","3x`b","",""
"絞盡腦汁","31be","",""
"絞盡腦汁","3]be","",""
"絞碎","3xmj","",""
"鉸","cx","",""
"餃","ox","",""
"餃子","ox.b","",""
"腳","b9","",""
"腳本","b9dm","",""
"腳步","b91,","",""
"腳踏車","br2","",""
"腳踏實地","br7g","",""
"腳力","b9jn","",""
"腳力","b9mn","",""
"腳力","b9n,","",""
"腳跟","b9r[","",""
"腳踝","b9rd","",""
"腳架","b9jd","",""
"腳架","b9nd","",""
"腳氣病","b,y","",""
"腳氣病","b,`","",""
"腳趾","b9rm","",""
"腳程","b9,g","",""
"腳色","b9,'","",""
"腳丫子","by.","",""
"剿",",b","",""
"剿匪",",b[m","",""
"勦",",n","",""
"僥","o-","",""
"僥倖","o-","",""
"僥倖","o-oj","",""
"矯",",b","",""
"矯健",",boj","",""
"矯健",",boz","",""
"矯情",",bpb","",""
"矯治",",ber","",""
"矯正",",bmm","",""
"矯飾",",bo1","",""
"矯揉造作",",qzo","",""
"矯枉過正",",dzm","",""
"繳","3x","",""
"繳白卷","3,t","",""
"繳費","3x,5","",""
"繳費","3xn5","",""
"繳付","3xo;","",""
"繳納","3x3b","",""
"繳款","3xgo","",""
"繳交","3xyx","",""
"繳械","3xdi","",""
"繳稅","3x,-","",""
"攪","q-","",""
"攪拌","q-qj","",""
"攪亂","q-,'","",""
"攪和","q-,r","",""
"攪混","q-e'","",""
"攪局","q-sn","",""
"叫","r1","",""
"叫罵","r1wn","",""
"叫賣","r1g5","",""
"叫苦連天","rtzm","",""
"叫好","r1vb","",""
"叫好不叫座","rvmr","",""
"叫好又叫座","rvxr","",""
"叫喊","r1ri","",""
"叫喚","r1rk","",""
"叫屈","r1su","",""
"叫囂","r1rr","",""
"叫醒","r1mg","",""
"叫陣","r192","",""
"叫嚷","r1r[","",""
"叫座","r1`g","",""
"校","dx","",""
"校訂","dx4b","",""
"校對","dxt;","",""
"校稿","dx,b","",""
"校勘","dxtn","",""
"校勘學","dt,","",""
"校正","dxmm","",""
"校閱","dxa-","",""
"較","2x","",""
"較量","2xag","",""
"較勁","2xmn","",""
"教","gx","",""
"教","xx","",""
"教鞭","gxtx","",""
"教鞭","xxtx","",""
"教派","gxe[","",""
"教派","xxe[","",""
"教導","gxz;","",""
"教導","xxz;","",""
"教堂","gxtg","",""
"教堂","xxtg","",""
"教條","gxod","",""
"教條","xxod","",""
"教廷","gxzg","",""
"教廷","xxzg","",""
"教徒","gx,o","",""
"教徒","xx,o","",""
"教練","gx3d","",""
"教練","xx3d","",""
"教練車","g32","",""
"教練車","x32","",""
"教規","gxg-","",""
"教規","gxm-","",""
"教規","xxg-","",""
"教規","xxm-","",""
"教官","gx7r","",""
"教官","gx7]","",""
"教官","xx7r","",""
"教官","xx7]","",""
"教科書","g,1","",""
"教科書","g,]","",""
"教科書","x,1","",""
"教科書","x,]","",""
"教化","gxo'","",""
"教化","xxo'","",""
"教誨","gx4=","",""
"教誨","xx4=","",""
"教會","gxoa","",""
"教會","xxoa","",""
"教皇","gx,g","",""
"教皇","xx,g","",""
"教具","gxb8","",""
"教具","xxb8","",""
"教席","gx`1","",""
"教席","xx`1","",""
"教學","gx,b","",""
"教學","xx,b","",""
"教學相長","g,dm","",""
"教學相長","x,dm","",""
"教訓","gx41","",""
"教訓","xx41","",""
"教主","gxyg","",""
"教主","xxyg","",""
"教師","gx,1","",""
"教師","gxs1","",""
"教師","xx,1","",""
"教師","xxs1","",""
"教師節","g,h","",""
"教師節","gsh","",""
"教師節","x,h","",""
"教師節","xsh","",""
"教士","gxg","",""
"教士","xxg","",""
"教室","gx7g","",""
"教室","xx7g","",""
"教授","gxqx","",""
"教授","xxqx","",""
"教宗","gx7y","",""
"教宗","xx7y","",""
"教材","gxdb","",""
"教材","xxdb","",""
"教唆","gxrx","",""
"教唆","xxrx","",""
"教案","gx7d","",""
"教案","xx7d","",""
"教義","gxti","",""
"教義","xxti","",""
"教友","gxjx","",""
"教養","gxt[","",""
"教養","xxt[","",""
"教務","gx.n","",""
"教務","xx.n","",""
"教育","gxjb","",""
"教育","gxyb","",""
"教育","xxjb","",""
"教育","xxyb","",""
"教育家","gj7","",""
"教育家","gy7","",""
"教育家","xj7","",""
"教育家","xy7","",""
"教員","gxr5","",""
"教員","xxr5","",""
"窖","7r","",""
"嶠","ubx","",""
"轎","2b","",""
"轎夫","2bgo","",""
"轎夫","2bjk","",""
"轎夫","2bmk","",""
"轎車","2b2","",""
"轎子","2b.b","",""
"徼",",xx","",""
"醮","mf","",""
"覺",",-","",""
"糾","31","",""
"糾紛","313n","",""
"糾彈","31nj","",""
"糾葛","31t=","",""
"糾合","31or","",""
"糾集","310d","",""
"糾結","313r","",""
"糾舉","31,j","",""
"糾正","31mm","",""
"糾眾","31,.","",""
"糾眾","31,b","",""
"糾眾","31,o","",""
"糾眾","31w.","",""
"糾眾","31wb","",""
"糾眾","31wo","",""
"糾察","317y","",""
"糾察隊","379","",""
"糾纏","313g","",""
"赳","g1","",""
"揪","qf","",""
"揪出","qfuu","",""
"啾","rf","",""
"啾啾","rfrf","",""
"鳩","j0","",""
"鳩占鵲巢","jyt,","",""
"鬮","a'x","",""
"九","96","",""
"九","j'","",""
"九","m'","",""
"九牛二虎之力","j,my","",""
"九牛二虎之力","m,my","",""
"九牛一毛","j,m,","",""
"九牛一毛","m,m,","",""
"九宮格","j7d","",""
"九宮格","m7d","",""
"九孔","j'.'","",""
"九孔","m'.'","",""
"九泉","j',e","",""
"九泉","m',e","",""
"九霄雲外","j66,","",""
"九霄雲外","m66,","",""
"九重葛","j,t","",""
"九重葛","m,t","",""
"九層塔","jsg","",""
"九層塔","msg","",""
"九死一生","jmm,","",""
"九死一生","mmm,","",""
"九一八事變","jm8j","",""
"九一八事變","jm8m","",""
"九一八事變","mm8j","",""
"九一八事變","mm8m","",""
"九嶷山","juu","",""
"九嶷山","muu","",""
"九五之尊","jmyt","",""
"九五之尊","mmyt","",""
"久",",.","",""
"久",",o","",""
"久別",",.rb","",""
"久別",",orb","",""
"久病成良醫",",y`y","",""
"久病成良醫",",``y","",""
"久病成醫",",y`[","",""
"久病成醫",",``[","",""
"久留",",.,w","",""
"久留",",.[w","",""
"久留",",o,w","",""
"久留",",o[w","",""
"久候",",.ok","",""
"久候",",ook","",""
"久旱不雨",",am6","",""
"久旱逢甘霖",",azt","",""
"久久",",.,.","",""
"久久",",o,o","",""
"久而久之",",m,y","",""
